,date,PULocationID,DOLocationID,total_trip_miles,total_driver_pay
0,2023-01-01,61.0,61.0,4261.875,13013.98
1,2023-01-02,61.0,76.0,3767.08,11663.529999999999
2,2023-01-03,76.0,76.0,3313.513,9979.24
3,2023-01-04,61.0,61.0,3524.139,10789.130000000001
4,2023-01-05,61.0,61.0,3497.3590000000004,11041.77
5,2023-01-06,61.0,61.0,3451.793,11075.83
6,2023-01-07,61.0,188.0,3617.801,11788.68
7,2023-01-08,61.0,61.0,4114.093,13203.169999999998
8,2023-01-09,79.0,61.0,4313.8060000000005,13118.64
9,2023-01-10,61.0,61.0,3693.444,10932.529999999999
10,2023-01-11,89.0,37.0,3443.852,10827.28
11,2023-01-12,61.0,61.0,3474.751,11305.4
12,2023-01-13,61.0,61.0,3886.385,12253.519999999999
13,2023-01-14,61.0,61.0,3688.149,11868.36
14,2023-01-15,42.0,132.0,4541.361000000001,14837.54
15,2023-01-16,42.0,61.0,4351.819,13046.070000000002
16,2023-01-17,42.0,61.0,3629.3469999999998,10688.34
17,2023-01-18,61.0,42.0,3416.258,10317.36
18,2023-01-19,61.0,61.0,3382.491,10942.25
19,2023-01-20,42.0,61.0,3628.908,11677.630000000001
20,2023-01-21,76.0,61.0,3720.441,12465.550000000001
21,2023-01-22,76.0,61.0,4354.0830000000005,14684.33
22,2023-01-23,79.0,148.0,4796.904,14784.62
23,2023-01-24,61.0,37.0,3564.3469999999998,10734.1
24,2023-01-25,61.0,17.0,3454.126,11071.509999999998
25,2023-01-26,61.0,61.0,3692.895,11935.119999999999
26,2023-01-27,37.0,61.0,3811.296,12465.53
27,2023-01-28,61.0,61.0,4287.6,13818.58
28,2023-01-29,225.0,61.0,4755.668,16482.77
29,2023-01-30,76.0,61.0,4457.4349999999995,14101.64
30,2023-01-31,61.0,37.0,4044.804,12707.259999999998
31,2023-02-01,61.0,76.0,1703.683,10557.32
32,2023-02-02,244.0,76.0,2722.52,10663.68
33,2023-02-03,17.0,76.0,3833.0690000000004,17553.170000000002
34,2023-02-04,61.0,61.0,4175.932000000001,17352.58
35,2023-02-05,61.0,37.0,4811.467,19932.41
36,2023-02-06,37.0,61.0,4861.602,17136.6
37,2023-02-07,76.0,89.0,3573.748,12892.86
38,2023-02-08,225.0,61.0,3797.6059999999998,14548.830000000002
39,2023-02-09,61.0,61.0,3862.5240000000003,13535.55
40,2023-02-10,61.0,61.0,3747.081,13616.91
41,2023-02-11,61.0,244.0,4192.303,15234.33
42,2023-02-12,61.0,61.0,4781.601000000001,17136.14
43,2023-02-13,61.0,61.0,5046.541,17572.11
44,2023-02-14,79.0,225.0,4799.448,17393.77
45,2023-02-15,132.0,61.0,3818.109,12357.75
46,2023-02-16,61.0,61.0,3449.02,11693.7
47,2023-02-17,42.0,61.0,4152.584000000001,14377.86
48,2023-02-18,61.0,61.0,3437.033,12276.25
49,2023-02-19,225.0,244.0,4692.192,16285.529999999999
50,2023-02-20,79.0,61.0,5071.679,16867.41
51,2023-02-21,79.0,37.0,4328.867,13486.95
52,2023-02-22,42.0,76.0,3606.492,12732.609999999999
53,2023-02-23,37.0,244.0,3726.898,13139.960000000001
54,2023-02-24,76.0,35.0,4576.567999999999,15966.71
55,2023-02-25,61.0,237.0,4282.853999999999,15492.220000000001
56,2023-02-26,79.0,61.0,5167.073,20390.879999999997
57,2023-02-27,76.0,61.0,5454.161,18295.6
58,2023-02-28,225.0,61.0,4180.544,13756.199999999999
59,2023-03-01,39.0,61.0,3968.6600000000003,13193.82
60,2023-03-02,76.0,61.0,4215.835999999999,14358.25
61,2023-03-03,225.0,71.0,4189.931,14948.810000000001
62,2023-03-04,39.0,76.0,4331.742,15216.330000000002
63,2023-03-05,37.0,76.0,5476.285,20421.41
64,2023-03-06,79.0,61.0,5255.469999999999,18825.96
65,2023-03-07,61.0,61.0,4427.373,14443.880000000001
66,2023-03-08,42.0,213.0,3633.826,12776.779999999999
67,2023-03-09,76.0,76.0,4016.428,13642.77
68,2023-03-10,76.0,76.0,4069.687,14213.5
69,2023-03-11,39.0,76.0,4752.45,16675.61
70,2023-03-12,61.0,42.0,5281.718,19667.690000000002
71,2023-03-13,79.0,61.0,5316.107,20057.920000000002
72,2023-03-14,61.0,61.0,4589.173000000001,15476.41
73,2023-03-15,76.0,76.0,3962.6259999999997,14457.39
74,2023-03-16,76.0,61.0,4561.709000000001,16008.17
75,2023-03-17,76.0,61.0,4972.9130000000005,18182.59
76,2023-03-18,61.0,61.0,5249.402,20096.55
77,2023-03-19,76.0,132.0,5570.079,21200.629999999997
78,2023-03-20,79.0,79.0,6055.12,22472.0
79,2023-03-21,61.0,76.0,5522.852,19031.0
80,2023-03-22,17.0,76.0,4030.9669999999996,14232.720000000001
81,2023-03-23,61.0,231.0,4207.448,14822.44
82,2023-03-24,61.0,76.0,4391.629,17513.800000000003
83,2023-03-25,76.0,76.0,5226.758000000001,18289.67
84,2023-03-26,61.0,79.0,5508.2519999999995,21539.559999999998
85,2023-03-27,79.0,79.0,5934.221,23475.64
86,2023-03-28,61.0,76.0,5041.8240000000005,16424.14
87,2023-03-29,61.0,138.0,4195.395,13685.43
88,2023-03-30,76.0,244.0,4318.924,14995.55
89,2023-03-31,79.0,76.0,4610.696,16029.130000000001
90,2023-04-01,61.0,76.0,5305.246,18654.300000000003
91,2023-04-02,61.0,61.0,5248.981,19066.309999999998
92,2023-04-03,79.0,61.0,5541.272000000001,19582.07
93,2023-04-04,42.0,61.0,4942.687,16580.13
94,2023-04-05,76.0,76.0,4150.966,14969.77
95,2023-04-06,61.0,42.0,4369.639,15716.9
96,2023-04-07,225.0,76.0,4595.755,16795.06
97,2023-04-08,76.0,61.0,4871.630999999999,18551.3
98,2023-04-09,61.0,61.0,5217.197,20265.41
99,2023-04-10,79.0,249.0,6212.293,22181.59
100,2023-04-11,61.0,61.0,4770.744000000001,16462.49
101,2023-04-12,76.0,37.0,4256.089,16187.330000000002
102,2023-04-13,61.0,61.0,4328.673,16135.08
103,2023-04-14,61.0,61.0,4439.406,16425.16
104,2023-04-15,231.0,61.0,4576.636,17401.510000000002
105,2023-04-16,61.0,61.0,5638.284,22953.21
106,2023-04-17,234.0,61.0,5697.294,22007.43
107,2023-04-18,61.0,61.0,5179.509,17865.16
108,2023-04-19,61.0,132.0,4018.0250000000005,14122.29
109,2023-04-20,61.0,61.0,4322.1539999999995,16663.2
110,2023-04-21,61.0,61.0,4586.924,16338.96
111,2023-04-22,42.0,89.0,4743.153,17136.719999999998
112,2023-04-23,61.0,61.0,5654.7919999999995,21484.36
113,2023-04-24,79.0,61.0,6320.276,25041.7
114,2023-04-25,61.0,61.0,5045.644,17223.480000000003
115,2023-04-26,61.0,61.0,4466.3460000000005,15538.14
116,2023-04-27,76.0,234.0,4133.468999999999,14794.41
117,2023-04-28,61.0,132.0,4893.448,19333.870000000003
118,2023-04-29,188.0,61.0,5123.999,18496.61
119,2023-04-30,79.0,61.0,5046.5779999999995,20869.949999999997
120,2023-05-01,61.0,79.0,5157.724,20946.300000000003
121,2023-05-02,61.0,61.0,4927.775,18910.83
122,2023-05-03,61.0,42.0,3966.459,15396.420000000002
123,2023-05-04,76.0,76.0,4425.035,16270.52
124,2023-05-05,79.0,76.0,4371.951,17589.32
125,2023-05-06,61.0,130.0,5089.522000000001,19422.25
126,2023-05-07,76.0,132.0,5300.967000000001,20874.690000000002
127,2023-05-08,79.0,61.0,5560.398,21672.04
128,2023-05-09,61.0,61.0,5412.321,23760.76
129,2023-05-10,7.0,61.0,4159.397999999999,14634.32
130,2023-05-11,37.0,231.0,4744.621000000001,17643.78
131,2023-05-12,17.0,161.0,4918.835,18499.019999999997
132,2023-05-13,76.0,132.0,4904.914,20729.050000000003
133,2023-05-14,61.0,61.0,5247.892,22265.33
134,2023-05-15,79.0,37.0,6436.523999999999,26046.199999999997
135,2023-05-16,61.0,61.0,4948.183999999999,18417.550000000003
136,2023-05-17,61.0,76.0,3808.554,13383.609999999999
137,2023-05-18,237.0,76.0,4578.454,16543.480000000003
138,2023-05-19,61.0,138.0,5095.083999999999,19966.510000000002
139,2023-05-20,61.0,132.0,5232.709,20929.4
140,2023-05-21,234.0,61.0,5658.982,23618.449999999997
141,2023-05-22,61.0,37.0,6290.687,26459.17
142,2023-05-23,37.0,132.0,5964.9490000000005,22211.9
143,2023-05-24,132.0,138.0,4432.847,16344.829999999998
144,2023-05-25,61.0,132.0,4463.205,17494.28
145,2023-05-26,61.0,132.0,5381.804999999999,21362.67
146,2023-05-27,132.0,132.0,5423.2970000000005,21468.62
147,2023-05-28,76.0,61.0,5792.945,25289.230000000003
148,2023-05-29,48.0,61.0,5307.124,18542.01
149,2023-05-30,61.0,37.0,5234.028,18736.95
150,2023-05-31,61.0,186.0,4468.189,15945.16
151,2023-06-01,37.0,61.0,4497.603,17123.41
152,2023-06-02,234.0,61.0,5059.075000000001,18867.269999999997
153,2023-06-03,61.0,170.0,5443.643,19906.06
154,2023-06-04,61.0,79.0,5728.754,23391.82
155,2023-06-05,79.0,61.0,6326.528,27309.0
156,2023-06-06,79.0,61.0,5856.311,23515.73
157,2023-06-07,161.0,237.0,4566.66,18723.55
158,2023-06-08,231.0,61.0,4787.309000000001,20168.18
159,2023-06-09,76.0,161.0,4644.563,19427.3
160,2023-06-10,76.0,132.0,5171.627,21129.309999999998
161,2023-06-11,79.0,37.0,5770.049,23915.22
162,2023-06-12,79.0,37.0,6098.724,24323.99
163,2023-06-13,79.0,132.0,5755.97,21775.920000000002
164,2023-06-14,231.0,76.0,4496.0419999999995,17484.55
165,2023-06-15,161.0,37.0,4683.4839999999995,18592.510000000002
166,2023-06-16,76.0,132.0,4343.49,17874.54
167,2023-06-17,76.0,132.0,5362.926,22423.97
168,2023-06-18,148.0,132.0,5520.23,24419.2
169,2023-06-19,79.0,61.0,6305.525,26785.32
170,2023-06-20,79.0,61.0,5598.795,22550.399999999998
171,2023-06-21,231.0,61.0,4382.993,16644.36
172,2023-06-22,61.0,76.0,4823.424999999999,19324.020000000004
173,2023-06-23,7.0,76.0,4991.2,19942.270000000004
174,2023-06-24,161.0,76.0,5051.276,21034.11
175,2023-06-25,61.0,61.0,5567.497,23211.0
176,2023-06-26,37.0,249.0,6587.790999999999,27896.17
177,2023-06-27,37.0,79.0,5811.299,24337.579999999998
178,2023-06-28,7.0,138.0,4987.955,19141.53
179,2023-06-29,76.0,61.0,4842.055,19150.409999999996
180,2023-06-30,181.0,61.0,5080.415999999999,20740.45
181,2023-07-01,132.0,132.0,5252.183,21034.270000000004
182,2023-07-02,79.0,138.0,5299.664000000001,20491.539999999997
183,2023-07-03,79.0,61.0,5420.542,18682.71
184,2023-07-04,37.0,256.0,4933.4310000000005,19947.950000000004
185,2023-07-05,132.0,132.0,4978.519,18074.1
186,2023-07-06,89.0,37.0,4266.492,16297.83
187,2023-07-07,161.0,76.0,4750.743,17342.04
188,2023-07-08,132.0,230.0,4822.29,19637.629999999997
189,2023-07-09,7.0,132.0,5495.999,22341.79
190,2023-07-10,249.0,79.0,6285.469999999999,24976.82
191,2023-07-11,79.0,61.0,5772.593999999999,21023.26
192,2023-07-12,61.0,61.0,4449.7029999999995,16463.2
193,2023-07-13,37.0,161.0,4654.251,17729.98
194,2023-07-14,234.0,161.0,5036.597,18737.54
195,2023-07-15,61.0,170.0,5243.384999999999,21882.41
196,2023-07-16,79.0,132.0,6038.029,24828.32
197,2023-07-17,79.0,37.0,6416.775,26542.91
198,2023-07-18,79.0,132.0,5378.697999999999,20077.21
199,2023-07-19,230.0,61.0,4152.5380000000005,16118.550000000001
200,2023-07-20,61.0,132.0,4536.2919999999995,19957.409999999996
201,2023-07-21,230.0,230.0,5491.686,21961.54
202,2023-07-22,231.0,132.0,5202.939,20021.6
203,2023-07-23,61.0,230.0,5829.577,23203.88
204,2023-07-24,79.0,79.0,6246.960999999999,23721.22
205,2023-07-25,132.0,138.0,5290.905000000001,19442.64
206,2023-07-26,89.0,76.0,4537.25,16839.96
207,2023-07-27,61.0,161.0,4402.5960000000005,16830.260000000002
208,2023-07-28,249.0,161.0,4596.178,17588.17
209,2023-07-29,230.0,61.0,4849.139999999999,18928.620000000003
210,2023-07-30,79.0,138.0,5582.64,21517.5
211,2023-07-31,249.0,61.0,6062.3009999999995,23895.15
212,2023-08-01,61.0,37.0,5725.48,21741.989999999998
213,2023-08-02,132.0,132.0,4187.244000000001,15177.099999999999
214,2023-08-03,68.0,132.0,4475.464,16214.810000000001
215,2023-08-04,61.0,76.0,5028.6939999999995,18261.41
216,2023-08-05,76.0,161.0,4995.8279999999995,18930.309999999998
217,2023-08-06,140.0,138.0,5780.492,21644.39
218,2023-08-07,61.0,79.0,6247.824,22773.3
219,2023-08-08,61.0,79.0,5379.665,19943.07
220,2023-08-09,138.0,132.0,4198.987,15264.990000000002
221,2023-08-10,61.0,61.0,4296.589,16739.15
222,2023-08-11,61.0,36.0,4621.076999999999,18313.18
223,2023-08-12,61.0,138.0,5087.062,20050.129999999997
224,2023-08-13,79.0,132.0,5958.918,23314.08
225,2023-08-14,79.0,68.0,6022.339,22334.54
226,2023-08-15,79.0,61.0,5634.585,19407.59
227,2023-08-16,138.0,132.0,4446.303,15662.97
228,2023-08-17,61.0,132.0,4526.377,16343.05
229,2023-08-18,162.0,132.0,4886.446,17733.960000000003
230,2023-08-19,61.0,132.0,5106.838,19748.11
231,2023-08-20,76.0,79.0,5567.802,21991.53
232,2023-08-21,255.0,61.0,5987.501,27771.55
233,2023-08-22,68.0,37.0,4121.037,15715.2
234,2023-08-23,138.0,132.0,3969.286,14878.36
235,2023-08-24,68.0,61.0,4467.803,17881.02
236,2023-08-25,61.0,132.0,4667.496,18054.16
237,2023-08-26,79.0,138.0,4941.5,19452.22
238,2023-08-27,61.0,61.0,5736.458,22711.08
239,2023-08-28,79.0,79.0,6218.268,22683.199999999997
240,2023-08-29,79.0,132.0,5513.331,20832.300000000003
241,2023-08-30,61.0,132.0,4566.266,16408.61
242,2023-08-31,61.0,132.0,4308.47,16507.19
243,2023-09-01,161.0,61.0,4600.648,21746.160000000003
244,2023-09-02,132.0,132.0,5555.103999999999,27539.4
245,2023-09-03,80.0,132.0,6179.734,26388.34
246,2023-09-04,79.0,76.0,6336.035,24068.25
247,2023-09-05,48.0,132.0,5623.916,21323.559999999998
248,2023-09-06,138.0,61.0,4616.313,17465.65
249,2023-09-07,138.0,61.0,4426.375,16497.7
250,2023-09-08,61.0,61.0,4705.572,17328.14
251,2023-09-09,68.0,61.0,4839.780999999999,20984.89
252,2023-09-10,68.0,79.0,5896.119000000001,26435.379999999997
253,2023-09-11,79.0,79.0,6874.722,27827.57
254,2023-09-12,61.0,132.0,6319.334000000001,25556.83
255,2023-09-13,37.0,132.0,4855.295,21763.3
256,2023-09-14,161.0,162.0,4692.862999999999,19823.949999999997
257,2023-09-15,231.0,132.0,5008.321,20086.210000000003
258,2023-09-16,61.0,132.0,5224.2880000000005,18807.98
259,2023-09-17,61.0,138.0,5762.757,23983.52
260,2023-09-18,79.0,80.0,6779.3769999999995,26997.52
261,2023-09-19,138.0,61.0,6001.201999999999,23198.4
262,2023-09-20,148.0,138.0,4678.736,18779.519999999997
263,2023-09-21,138.0,231.0,4527.463,18113.79
264,2023-09-22,161.0,234.0,4781.324,19122.48
265,2023-09-23,237.0,132.0,5312.17,23570.519999999997
266,2023-09-24,61.0,138.0,5754.121,25209.72
267,2023-09-25,79.0,79.0,6375.947,25898.440000000002
268,2023-09-26,61.0,138.0,5997.8240000000005,22228.350000000002
269,2023-09-27,132.0,138.0,4806.5869999999995,18010.81
270,2023-09-28,138.0,246.0,4532.7880000000005,16723.92
271,2023-09-29,61.0,132.0,4644.998,17814.34
272,2023-09-30,138.0,132.0,5462.973,22740.559999999998
273,2023-10-01,61.0,61.0,5496.709,23519.86
274,2023-10-02,79.0,79.0,6616.986000000001,25914.12
275,2023-10-03,61.0,61.0,5832.365,22296.450000000004
276,2023-10-04,138.0,138.0,4687.054,19030.78
277,2023-10-05,161.0,161.0,4655.303,18125.83
278,2023-10-06,161.0,138.0,4893.261,19523.27
279,2023-10-07,61.0,132.0,5405.753,22582.0
280,2023-10-08,68.0,138.0,5946.936,24357.85
281,2023-10-09,79.0,37.0,6474.813,24942.609999999997
282,2023-10-10,79.0,61.0,5725.215,21358.09
283,2023-10-11,132.0,138.0,4643.148000000001,16088.050000000001
284,2023-10-12,138.0,138.0,4657.781999999999,18285.23
285,2023-10-13,138.0,132.0,4872.017,19597.9
286,2023-10-14,231.0,138.0,5439.178,22162.719999999998
287,2023-10-15,79.0,138.0,6323.654,26713.4
288,2023-10-16,79.0,79.0,6910.0779999999995,29013.43
289,2023-10-17,68.0,138.0,6354.611,23208.6
290,2023-10-18,138.0,138.0,4980.6720000000005,19233.67
291,2023-10-19,234.0,132.0,4687.92,19203.28
292,2023-10-20,138.0,138.0,4832.533,20009.32
293,2023-10-21,246.0,161.0,5123.13,21225.379999999997
294,2023-10-22,138.0,138.0,6153.502,25546.530000000002
295,2023-10-23,79.0,61.0,6561.396,26606.199999999997
296,2023-10-24,79.0,61.0,6465.421,23963.32
297,2023-10-25,61.0,138.0,4489.495,17466.4
298,2023-10-26,79.0,61.0,4359.125,19353.129999999997
299,2023-10-27,79.0,230.0,4839.258,19494.35
300,2023-10-28,249.0,138.0,5609.04,23989.019999999997
301,2023-10-29,79.0,79.0,6628.118,29549.059999999998
302,2023-10-30,79.0,79.0,7543.635,31842.100000000002
303,2023-10-31,61.0,79.0,7272.062,29894.91
304,2023-11-01,138.0,138.0,5293.233,20927.370000000003
305,2023-11-02,76.0,61.0,4489.726000000001,17073.0
306,2023-11-03,231.0,138.0,5077.673,20431.01
307,2023-11-04,138.0,230.0,5681.34,22243.79
308,2023-11-05,79.0,61.0,6300.475,25246.760000000002
309,2023-11-06,148.0,79.0,6595.477000000001,24683.079999999998
310,2023-11-07,138.0,138.0,6548.148999999999,24231.55
311,2023-11-08,138.0,138.0,5147.2570000000005,18496.769999999997
312,2023-11-09,230.0,161.0,4954.738,19339.36
313,2023-11-10,79.0,132.0,5220.724,20503.239999999998
314,2023-11-11,138.0,138.0,5507.8,20591.45
315,2023-11-12,79.0,138.0,6294.522,25063.66
316,2023-11-13,79.0,249.0,7377.307,29795.22
317,2023-11-14,79.0,138.0,6805.37,25354.47
318,2023-11-15,132.0,138.0,5514.374,21279.11
319,2023-11-16,138.0,132.0,5227.085999999999,20706.12
320,2023-11-17,230.0,138.0,5501.147,21497.519999999997
321,2023-11-18,138.0,138.0,6055.173000000001,24193.269999999997
322,2023-11-19,231.0,132.0,6642.995,28147.510000000002
323,2023-11-20,79.0,79.0,7302.045,28421.0
324,2023-11-21,79.0,138.0,6279.553,22259.760000000002
325,2023-11-22,76.0,132.0,5728.772,20811.34
326,2023-11-23,230.0,132.0,5399.017,22434.69
327,2023-11-24,164.0,138.0,5853.0599999999995,22827.45
328,2023-11-25,61.0,42.0,6089.5599999999995,21502.32
329,2023-11-26,42.0,89.0,5279.158,18036.41
330,2023-11-27,138.0,132.0,5795.0,20415.489999999998
331,2023-11-28,138.0,138.0,6035.008,21070.36
332,2023-11-29,138.0,132.0,4917.577,18639.55
333,2023-11-30,237.0,161.0,4904.54,20285.690000000002
334,2023-12-01,138.0,132.0,5568.398999999999,21067.07
335,2023-12-02,138.0,132.0,5817.696,23197.69
336,2023-12-03,138.0,138.0,6933.245,27386.46
337,2023-12-04,148.0,79.0,6916.632,27283.85
338,2023-12-05,79.0,132.0,6750.889,23824.25
339,2023-12-06,161.0,132.0,5316.2,20653.54
340,2023-12-07,138.0,132.0,5528.624,22117.25
341,2023-12-08,234.0,162.0,5659.976,23013.690000000002
342,2023-12-09,138.0,132.0,6096.504,26436.6
343,2023-12-10,79.0,138.0,6830.094,28716.58
344,2023-12-11,79.0,79.0,7288.661,29716.4
345,2023-12-12,79.0,138.0,6634.114,25065.199999999997
346,2023-12-13,132.0,132.0,5831.393,21579.870000000003
347,2023-12-14,161.0,132.0,5184.9130000000005,20555.89
348,2023-12-15,234.0,132.0,5055.477999999999,20488.32
349,2023-12-16,61.0,132.0,5752.18,22877.559999999998
350,2023-12-17,138.0,132.0,6651.734,25423.589999999997
351,2023-12-18,76.0,138.0,6639.055,23869.100000000002
352,2023-12-19,79.0,138.0,5805.744999999999,19897.85
353,2023-12-20,61.0,138.0,5430.102,18786.089999999997
354,2023-12-21,76.0,138.0,4755.237,16608.98
355,2023-12-22,89.0,138.0,5278.1990000000005,18065.129999999997
356,2023-12-23,61.0,138.0,5579.532999999999,19318.29
357,2023-12-24,76.0,138.0,5544.379,17614.22
358,2023-12-25,188.0,61.0,4473.329,13042.720000000001
359,2023-12-26,186.0,76.0,3855.8469999999998,11981.35
360,2023-12-27,132.0,132.0,4333.983,13748.630000000001
361,2023-12-28,61.0,138.0,4220.3,13688.1
362,2023-12-29,132.0,76.0,4647.023999999999,14670.47
363,2023-12-30,138.0,61.0,5012.954,16028.650000000001
364,2023-12-31,76.0,132.0,5574.725,17595.120000000003
